Name,Latitude,Longitude,Address,Contact,Rating,Url,Municipality,ImageUrl
Wine Bar & Winery Mal Sv. Kliment,41.112800470396515,20.796900739512648,Metodi Patche 8 Ohrid 6000,075223949,4.8,vilamalsvetikliment.com,Ohrid,https://i.imgur.com/80Tn5La.jpg,"Вилата „Мал Св. Климент“ од Охрид направи своја винарија во која ќе се прави вино од автохтони сорти на грозје кои се карактеристични за охридскиот регион. Идејата за ваква винарија произлегла од интересот на гостите за охридските вина кои имаат свои карактеристики кои ги немаат останатите вина во светот. Сопственикот на винаријата Будимир Соколовиќ вели дека тоа можеби не се некои врвни вина по својот квалитет$ но се единствени бидејќи се произведуваат од ретки сорти."
Winery Lazar,41.546600504934254,21.972491954873373,MK Stobi Palikura 1422,071281566,4.8,lazarwinery.mk,Gradsko,https://i.imgur.com/qBzxKSA.jpg," Винарија Лазар е позната по своите вина со изразен карактер. Со почит кон традицијата и иновации во производството$ оваа винарија создава вина што ги задоволуваат и најизбирателните вкусови.^split^Таа е eдна од најдобрите винарии во Македонија и е основана во 2000 година како мал семеен бизнис од Лазар Ристов. Семејството е производител на грозје веќе 4 генерации$ но производството на грозје се продавало на други винарии. Винаријата Лазар произведува околу 50000 шишиња вино годишно."
Winery Valandovo,41.319809261759936,22.566358254864788,Orce Nikolov 6 Valandovo 2460,034383880,4.7,vizbavalandovo.com.mk,Valandovo,https://i.imgur.com/R74jVs1.jpg,"Винаријата Визба Валандово стара 70 години е една од најстарите винарии во Македонија. За да го создадеме ова искуство$ ние сме педантни за нашиот процес. Ние рачно го береме грозјето од баснословните лозја на Валандовската клисура. Нашите винари нè водат во спојување на традиционалните лозарски тајни со генијалноста на новата доба. Квалитетното производство на вино е вешт занает кој троши многу голем дел од животот  па мора да биде радосно."
Winery Skovin,41.98812851227847,21.43664325403814,11th October St. локал 306 Skopje 1000,023145701,4.8,skovin.mk,Skopje,https://i.imgur.com/ygefUcI.png,"Винарската визба Сковин е основана во 1979 година како посветен следбеник на вековната традиција на производство на вино од скопскиот вински округ$ кој датира од античко римско време. Денес Сковин произведува 17 милиони литри вино. Сковин лозја кои покриваат благи падини на ридовите околу Скопје. Некои од нив несомнено потекнуваат од времето на античката Македонија. Други сега се подготвени да го задржат товарот на обилните грозја. Сковинските лозја се добро познати по нивниот уникатен вкус."
Winery Venec,41.434080856663364,22.092984710592894,s. Dolni Disan Negotino 1443,043369200,4.8,venec.mk,Negotino,https://i.imgur.com/yNsLIQd.jpg,"Винаријата Венец прави вино од 1956 година и сé уште користи класични техники. Венец користи најразлични рачно изработени$ рафинирани техники без промена на она што тие го направиле пред 50 години. Виното отсекогаш било направено со внимание и љубов."
Winery Jostela,41.135814043790795,22.48335846834963,Moinski Pat Gevgelija 1480,070305149,5.0,jostela.com,Gevgelija,https://i.imgur.com/QFWfs7k.png,"Првата приватна семејна винарија во Гевгелија „Јостела“ која годинава одбележува свое полнолетство од основањето$ со гордост споделуваат искуства од учеството на вториот национален саем на храна и пијалоци во Македонија „Вкуси ја традицијата“. Како репрезенти на вкусот на винското поднебје од југот тие се од почетокот на манифестацијата$ уште првата востановена година на саемот$ дел од излагачите на традиционалните пијалоци во Македонија$ виното и капката домашна ракија од сопствено производство$ со внимание зреени и чувани во винските подруми на „Јостела“."
Winery Anevski,41.76154803845012,22.16804964711965,str. Zeleznicka 39 Stip,070394157,4.2,acpwinery.com,Stip,https://i.imgur.com/8arkpzN.jpg,"Винарија Аневски се издвојува по своето внимание кон детали и фокус на традиционалните вински техники. Нивните вина го изразуваат карактерот на регионот$ претставувајќи автентично искуство за сите љубители на виното.^split^Формирана  е 2009 година во срцето на Вински регион Повадарие каде традицијата на винариите е долга со векови."
Dalvina Winery,41.501941574021046,22.742002927400293,R1302 Hamzali 2431,034375578,4.8,dalvina.com.mk,Gevgelija,https://i.imgur.com/doyT57X.jpeg,"Далвина е млада и просперитетна винарија опкружена со 410 хектари сопствени лозови насади$ со колективен склад од 7 милиони литри и годишен производствен капацитет од 3.4 милиони литри. Во секој чекор се воведува најмодерната технологија$ почнувајќи од гроздоберот$ преносот$ ракувањето$ пресите$ се до ферментацијата."
Winery Badi,41.44964892799123,22.01710520953139,Pere Toshev 3 Kavadartsi 1430,077832746,5.0,instagram.com/badiwinery,Kavadarci,https://i.imgur.com/RiMywxi.jpg,"Винаријата Бади е лоцирана во Кавадарци – срцето на Тиквешкиот вински регион. Мисијата на оваа винарија е да ја изрази извонредната убавина и креативниот дух на нејзината територија и го обогатува македонското вино со својата љубов. Со тоа претставува уникатна винарија за дегустација на вино."
Skovin AD Skopje Winery,42.000691795177694,21.478689869517343,15th Korpus No. 3 Skopje 1000,023145701,4.9,null,Skopje,https://i.imgur.com/ygefUcI.png,"Винарија Сковин АД Скопје претставува еден од водечките играчи во македонската винска индустрија. Со традиционални и современи методи на производство$ оваа винарија ги носи најдобрите аспекти на македонската винска култура."
Wine Cellar Tikves AD Skopje,42.00176326587176,21.4678538106541,810 no. 2 Skopje 1000,023181700,4.2,tikves.com.mk,Skopje,https://i.imgur.com/pFCJjfo.jpg,"Во 2003 година направивме трансформација во нашиот професионален живот. Бевме решен да продолжам со постојано подобрување. Од тој момент$ се посветив на идејата дека боите на оваа земја$ нејзиниот народ$ неговиот пејсаж$ музиката и аромите треба да бидат пресликани и преточени во нашиот македонски производ. Ние во „Тиквеш“ се обидовме во нашите вина да прикажеме сè што нашите сликари и музичари се стремеле да прикажат во нивната уметност.^split^Во нашите вина може да се почувствува мистериозноста на магливоста и на утринската роса во долината Барово, надреалната тишина на Бела вода и песочните падини и топлото ветре во Лепово."
Winery Ezimit,41.77578880274496,22.181098539479894,Ul. Bregalnicka 64a Shtip,032387809,4.5,ezimit.mk,Stip,https://i.imgur.com/eWTY8R1.png,"Езимит Вино е винарија која ја интегрира традицијата на производство на грозје и вина кои се присутни низ вековите во Македонија од една страна и врвната технологија која Езимит Вино ја поседува. Остатоците од античка винарија во близина на лозовите насади$ го покажува присуството на традицијата проткајана до ден денес."
Winery Grkov,41.31267955075656,22.126713327817434,1437 Krnjevo,023092641,4.5,null,Kavadarci,https://i.imgur.com/HtSfeMr.jpg,"Вината на Грков созреваат во прекрасна винска визна која е отворена за посета. ВО 2007-та година$ винската визба Грков започна и огранско производство на вино$ што ја направи својата винарија прва во Македонија која произведува вино од органско грозје. Квалитетот на грозјето зависи од карактеристичната клима која е мешавина од медитеранската клима под влијание на Егејското море на југ и континенталната клима која е под влијание на планината Кожуф од север"
Imako Vino Winery,41.70183156771824,22.15612476831244,M5X4+MX 6th km local road Stip-Radovis MK Sofilari 2000,032308703,4.5,imakovino.com.mk,Stip,https://i.imgur.com/zFgmIYJ.png,"Винарија Имако Вино е место каде љубовта кон виното се спојува со квалитетот и традицијата.^split^Се наоѓа во Повардарскиот вински регион$ Овчеполското виногорје. Постојаниот раст од основањето во 2002 година до денес$ ја промовира Имако Вино како една од најголемите винарски визби во Македонија со годишно производство од над 10 милиони литри вино."
Ciflik Winery,41.032187834546974,21.292930638549223,2 br.18 Brusnik Bitola,078305369,4.5,ciflikwinery.com,Bitola,https://i.imgur.com/V47t07e.jpg,"Винаријата Чифлик е семејна винарија лоцирана западно од градот Битола$ во пазувите на планината Баба на живописно подрачје под селото Брусник. Ние сме специјализирани во современото производство на вино$ со мешање на традиционалните рецепти кои се чуваат и негуваат во семејството повеќе од 100 години со нови најсовремени пристапи$ со цел да ги добиете највкусните вкусови на виното."
GD Tikves Winery,41.47600777789154,21.921033066452587,Ul. Kamendol - Trstenik S MK Trstenik 1422,043415916,5.0,null,Kavadarci,https://i.imgur.com/IqGYPif.png,"ГД Тиквеш Винарија е еден од водечките производители на вино во Македонија. Со голема посветеност кон квалитетот и иновации во производството$ оваа винарија ги создава вината што ги задоволуваат и најизбирателните винољубци. Винаријата располага со широка палета сорти на грозје од сопствени лозови насади$ што овозможува контрола на квалитетот на грозјето и избор на саканата локација."
Ivanov Winery,41.43603498196067,22.005372354808312,MK Igman 11 Kavadarci 1430,075350084,5.0,null,Kavadarci,https://i.imgur.com/WoW8jHo.png,"Иванов е мала семејна винарија која произведува вино од сопствени лозови насади. Регистрирана е од 2019-та година$ но историјата е од пред 80 години кога дедото на Орданче засадил лозови насади. Денеска производството на вино му претставува семејна традиција$ а од целата фамилија тој е првиот кој отпочнал професионално да се занимава со лозарство и винарство."
MILEV Winery,41.47606618507437,21.921122297138478,Ul. Kamendol - Trstenik S Trstenik 1422,043415916,4.6,milevwinery.com,Sveti Nikole,https://i.imgur.com/e1GxRxA.png,"Повеќе од 60 години Винарија Милев ужива репутација како една од најзначајните компании за модерно лозарство во Македонија.Денес компанијата е предводена од следната генерација со јасна и прогресивна визија за успех.Винарија Милев е гордото минато и возбудливата иднина на македонското вино. Заедно со нашата следна генерација$ ја продолжуваме традицијата и создаваме нови вински приказни."
Winery Movino,41.521620817754965,21.964781869377187,Industriska BB Rosoman 1422,043400731,4.6,movino.mk,Rosoman,https://i.imgur.com/TK5yl7h.jpg,"Винарија Мовино е посветена на креирање на вина со стил и елеганција. Со посебен фокус на детали и иновации$ оваа винарија го истакнува карактерот на гроздовите и плодови$ создавајќи вина што се издвојуваат по својата уникатност.^split^Винаријата е основана во 2015 година како семеен бизнис и се наоѓа кај селото Паликура. Капацитетот на винаријата изнесува 5.300.000 литри. Во производството преовладуваат вината од сортите Вранец и Смедеревка.Неодамна почна да произведува флаширано вино$ но сепак примарен фокус е производството и извоз на наливно вино кое се продава во Германија$ Канада и Јапонија."
Traikovsky Wines & Spirits,41.30715091359616,22.127352643160155,109 Krnjevo,043370287,4.0,traikovsky.com,Kavadarci,https://i.imgur.com/rxOWYK4.jpg,"Трајковски Вајнс & Спиритс е место каде што виното и спиритите се спојуваат во едно уметничко искуство. Со разнообразни вина и напитоци$ оваа компанија ја покажува разновидноста и квалитетот на македонските вина.^split^Лоцирана во селото Крњево$ оваа мала семејна дистелерија ден-денес работни по традиционалните принципи$ користи бакарни казани и рецепти од 1922 година кои наметнуваат двојна и тројна дестилација. Користат грозје кое се користело отсекогаш$ бидејќи веруваат дека најдобрите ракии и вина се правеле токму од овие лозови насади кои растат на висорамнините на Кожуф планина до 700 м.н.в."
Winery Bovin,41.49345285993726,22.092575427825256,Индустриска Negotino 1440,043365322,4.8,bovin.mk,Negotino,https://i.imgur.com/VMK9eWj.png,"Винарија Бовин се истакнува по своите традиционални методи на винарство и фокус на квалитетот. Основана во 1998 год. од браќата Кирил и Ѓорѓи Богевски и е првата приватна винарија во Македонија. Започнувајќи со скромен капацитет од 120.000 литри$ на исклучиво квалитетно вино$ во 1999-та своето прво вино го продаваат за цена шест пати поголема од онаа на Т’га за југ$ водечкото вино во тоа време. Од таму почнува приказната на производство на квалитетно флаширано вино$ која ја следеа речиси сите приватни винариии во земјава. Денес оваа винарија располага со капацитет од милион литри$ а производството е еднакво на капацитетот. Бовин во моментов поседува околу 60 хектари$ а останатото потребно грозје го купуваат од проверени кооперанти со кои соработуваат години наназад."
Winery Paragon,41.52229541872676,22.115258852961784,G4C8+R4 Krivolak 1440,071302478,4.8,null,Negotino,https://i.imgur.com/Mr4JYIQ.jpg,"Винарија Парагон го внесува нов пристап во македонското винарство со своите иновативни и креативни методи. Со почит кон традицијата и истражување на новите можности$ оваа винарија креира вина што се одразуваат на современите трендови и вкусови. Секое шише го опфаќа уникатното патување и уметност на нашиот тим за производство на вино$ кој неуморно се стреми кон совршенство во секоја голтка."
Domaine Lepovo,41.517829932426636,22.034189491318948,Negotino,023181741,4.4,domainelepovo.com,Negotino,https://i.imgur.com/kkHxmIO.png,"Домен Лепово е место каде што винската елеганција се среќава со високата квалитет на виното. Со избор на најдобрите гроздови и традиционални методи$ оваа винарија го креира излажениот вкус на тероарот во секоја чаша.^split^Со најновиот член од портфолиото на Домен Лепово достигнуваме нов врв во производство на моќни$ ексклузивни вина со исклучителен квалитет и висока додадена вредност. На ваков начин$ остануваме доследни на нашата стратешка определба за континуирано збогатување на понудата и во сегментот на производство на ограничени количини префинето вино."
Miron Winery,42.00245207105411,21.4981539811604,Palmiro Toljati 88 Skopje 1000,075336482,5.0,mironvinarija.mk,Skopje,https://i.imgur.com/TSRBSGd.jpg,"Добредојдовте во нашата мала семејна винарија во Скопје! Ние сме семејство со страст за винарство и енологија$ што произведува традиционални рачно направени вина$ маџун$ муголио$ сок од гроздје и ракија. Нашата винарија е во водство на млад енолог со искуство и посветеност кон винарството. Со грижа и внимание$ ги одбираме најдобрите грозја за нашите вина$ што ги произведуваме во мала количина за да го задржиме нашиот квалитет. Нашето вино Вранец$ специјалитет на регионот$ освои златна медаља на натпреварот Винотек."
